size,block_size,scheduler,pq,gpu,nodes,exp,Order
24000,300,lws,1x5,0,1,lu_factor_poti,lu_factor_poti_24000_1_GPU0_1
24000,300,lws,1x5,0,2,lu_factor_poti,lu_factor_poti_24000_2_GPU0_2
24000,300,lws,1x5,0,5,lu_factor_poti,lu_factor_poti_24000_5_GPU0_3
24000,300,lws,1x5,0,4,lu_factor_poti,lu_factor_poti_24000_4_GPU0_4
24000,300,lws,1x5,0,3,lu_factor_poti,lu_factor_poti_24000_3_GPU0_5
24000,300,lws,1x5,0,4,lu_factor_poti,lu_factor_poti_24000_4_GPU0_6
24000,300,lws,1x5,0,1,lu_factor_poti,lu_factor_poti_24000_1_GPU0_7
24000,300,lws,1x5,0,5,lu_factor_poti,lu_factor_poti_24000_5_GPU0_8
24000,300,lws,1x5,0,3,lu_factor_poti,lu_factor_poti_24000_3_GPU0_9
24000,300,lws,1x5,0,2,lu_factor_poti,lu_factor_poti_24000_2_GPU0_10
24000,300,lws,1x5,0,4,lu_factor_poti,lu_factor_poti_24000_4_GPU0_11
24000,300,lws,1x5,0,5,lu_factor_poti,lu_factor_poti_24000_5_GPU0_12
24000,300,lws,1x5,0,3,lu_factor_poti,lu_factor_poti_24000_3_GPU0_13
24000,300,lws,1x5,0,2,lu_factor_poti,lu_factor_poti_24000_2_GPU0_14
24000,300,lws,1x5,0,1,lu_factor_poti,lu_factor_poti_24000_1_GPU0_15
