time,cpu,io,memory,nodes,exp,order,start_ts,end_ts
10m,8,8,8,3,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU8_IO8_MEM8_N3_1,2025-11-24 22:06:02,2025-11-24 22:16:02
10m,12,12,0,3,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU12_IO12_MEM0_N3_2,2025-11-24 22:16:32,2025-11-24 22:26:32
10m,0,24,0,5,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO24_MEM0_N5_3,2025-11-24 22:27:02,2025-11-24 22:37:02
10m,0,12,12,4,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO12_MEM12_N4_4,2025-11-24 22:37:32,2025-11-24 22:47:32
10m,8,8,8,1,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU8_IO8_MEM8_N1_5,2025-11-24 22:48:02,2025-11-24 22:58:02
10m,24,0,0,2,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU24_IO0_MEM0_N2_6,2025-11-24 22:58:32,2025-11-24 23:08:32
10m,0,24,0,2,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO24_MEM0_N2_7,2025-11-24 23:09:02,2025-11-24 23:19:02
10m,0,12,12,2,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO12_MEM12_N2_8,2025-11-24 23:19:32,2025-11-24 23:29:32
10m,0,0,24,1,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO0_MEM24_N1_9,2025-11-24 23:30:02,2025-11-24 23:40:02
10m,12,0,12,2,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU12_IO0_MEM12_N2_10,2025-11-24 23:40:32,2025-11-24 23:50:32
10m,0,0,24,3,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO0_MEM24_N3_11,2025-11-24 23:51:02,2025-11-25 00:01:02
10m,0,24,0,1,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO24_MEM0_N1_12,2025-11-25 00:01:32,2025-11-25 00:11:32
10m,0,12,12,1,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO12_MEM12_N1_13,2025-11-25 00:12:02,2025-11-25 00:22:02
10m,0,12,12,5,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO12_MEM12_N5_14,2025-11-25 00:22:33,2025-11-25 00:32:33
10m,8,8,8,4,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU8_IO8_MEM8_N4_15,2025-11-25 00:33:03,2025-11-25 00:43:03
10m,12,12,0,5,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU12_IO12_MEM0_N5_16,2025-11-25 00:43:33,2025-11-25 00:53:33
10m,12,12,0,1,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU12_IO12_MEM0_N1_17,2025-11-25 00:54:03,2025-11-25 01:04:03
10m,0,24,0,4,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO24_MEM0_N4_18,2025-11-25 01:04:33,2025-11-25 01:14:33
10m,12,0,12,1,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU12_IO0_MEM12_N1_19,2025-11-25 01:15:03,2025-11-25 01:25:03
10m,0,0,24,4,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO0_MEM24_N4_20,2025-11-25 01:25:33,2025-11-25 01:35:33
10m,12,0,12,5,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU12_IO0_MEM12_N5_21,2025-11-25 01:36:03,2025-11-25 01:46:03
10m,24,0,0,1,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU24_IO0_MEM0_N1_22,2025-11-25 01:46:33,2025-11-25 01:56:33
10m,8,8,8,5,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU8_IO8_MEM8_N5_23,2025-11-25 01:57:03,2025-11-25 02:07:03
10m,0,24,0,3,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO24_MEM0_N3_24,2025-11-25 02:07:33,2025-11-25 02:17:33
10m,0,12,12,3,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU0_IO12_MEM12_N3_25,2025-11-25 02:18:03,2025-11-25 02:28:03
10m,12,12,0,4,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU12_IO12_MEM0_N4_26,2025-11-25 02:28:33,2025-11-25 02:38:33
10m,12,0,12,3,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU12_IO0_MEM12_N3_27,2025-11-25 02:39:03,2025-11-25 02:49:03
10m,24,0,0,5,stress_poti_5_nodes,stress_poti_5_nodes_10m_CPU24_IO0_MEM0_N5_28,2025-11-25 02:49:33,2025-11-25 02:59:33
