time,cpu,io,memory,nodes,exp,Order
5m,8,8,8,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N3_1
5m,12,12,0,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N3_2
5m,0,24,0,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N5_3
5m,0,12,12,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N4_4
5m,8,8,8,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N1_5
5m,24,0,0,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N2_6
5m,0,24,0,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N2_7
5m,0,12,12,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N2_8
5m,0,0,24,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N1_9
5m,12,0,12,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N2_10
5m,0,0,24,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N3_11
5m,0,24,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N1_12
5m,0,12,12,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N1_13
5m,0,12,12,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N5_14
5m,8,8,8,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N4_15
5m,12,12,0,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N5_16
5m,12,12,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N1_17
5m,0,24,0,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N4_18
5m,12,0,12,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N1_19
5m,0,0,24,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N4_20
5m,12,0,12,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N5_21
5m,24,0,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N1_22
5m,8,8,8,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N5_23
5m,0,24,0,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N3_24
5m,0,12,12,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N3_25
5m,12,12,0,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N4_26
5m,12,0,12,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N3_27
5m,24,0,0,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N5_28
5m,12,12,0,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N2_29
5m,0,0,24,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N5_30
5m,12,0,12,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N4_31
5m,0,0,24,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N2_32
5m,24,0,0,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N4_33
5m,24,0,0,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N3_34
5m,8,8,8,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N2_35
