time,cpu,io,memory,nodes,exp,Order
10m,8,8,8,3,stress_poti,stress_poti_10m_CPU8_IO8_MEM8_N3_1
10m,12,12,0,3,stress_poti,stress_poti_10m_CPU12_IO12_MEM0_N3_2
30m,12,0,12,3,stress_poti,stress_poti_30m_CPU12_IO0_MEM12_N3_3
30m,8,8,8,5,stress_poti,stress_poti_30m_CPU8_IO8_MEM8_N5_4
30m,12,0,12,5,stress_poti,stress_poti_30m_CPU12_IO0_MEM12_N5_5
10m,0,24,0,5,stress_poti,stress_poti_10m_CPU0_IO24_MEM0_N5_6
30m,12,0,12,2,stress_poti,stress_poti_30m_CPU12_IO0_MEM12_N2_7
30m,12,12,0,1,stress_poti,stress_poti_30m_CPU12_IO12_MEM0_N1_8
10m,0,12,12,4,stress_poti,stress_poti_10m_CPU0_IO12_MEM12_N4_9
30m,0,24,0,3,stress_poti,stress_poti_30m_CPU0_IO24_MEM0_N3_10
10m,8,8,8,1,stress_poti,stress_poti_10m_CPU8_IO8_MEM8_N1_11
10m,24,0,0,2,stress_poti,stress_poti_10m_CPU24_IO0_MEM0_N2_12
30m,0,0,24,5,stress_poti,stress_poti_30m_CPU0_IO0_MEM24_N5_13
30m,24,0,0,5,stress_poti,stress_poti_30m_CPU24_IO0_MEM0_N5_14
10m,0,24,0,2,stress_poti,stress_poti_10m_CPU0_IO24_MEM0_N2_15
30m,0,0,24,4,stress_poti,stress_poti_30m_CPU0_IO0_MEM24_N4_16
30m,8,8,8,3,stress_poti,stress_poti_30m_CPU8_IO8_MEM8_N3_17
30m,0,0,24,1,stress_poti,stress_poti_30m_CPU0_IO0_MEM24_N1_18
10m,0,12,12,2,stress_poti,stress_poti_10m_CPU0_IO12_MEM12_N2_19
30m,0,12,12,3,stress_poti,stress_poti_30m_CPU0_IO12_MEM12_N3_20
10m,0,0,24,1,stress_poti,stress_poti_10m_CPU0_IO0_MEM24_N1_21
30m,0,0,24,3,stress_poti,stress_poti_30m_CPU0_IO0_MEM24_N3_22
30m,0,12,12,4,stress_poti,stress_poti_30m_CPU0_IO12_MEM12_N4_23
10m,12,0,12,2,stress_poti,stress_poti_10m_CPU12_IO0_MEM12_N2_24
10m,0,0,24,3,stress_poti,stress_poti_10m_CPU0_IO0_MEM24_N3_25
